id,author,geometry,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
19457,Mortimore,annulus,8.27,2740.0,0.1286,5.0,13.3,2134.0,2.2
7888,Weatherhead,tube,13.79,1200.0,0.1597,11.1,11.1,457.0,1.6
2978,Thompson,tube,13.79,,0.0406,5.7,,625.0,2.9
18409,Weatherhead,tube,13.79,1994.0,-0.0109,,11.1,457.0,2.3
19392,Thompson,tube,17.24,2889.0,-0.1317,1.9,1.9,152.0,3.6
26240,Thompson,tube,,2034.0,0.0332,,10.8,432.0,5.4
20156,Thompson,,13.79,5588.0,-0.4505,4.7,4.7,318.0,4.8
7397,Thompson,tube,15.51,2387.0,-0.0744,1.9,1.9,696.0,8.3
31240,,,0.1,1000.0,-0.0596,15.0,120.0,10.0,6.0
19762,Beus,annulus,13.79,2729.0,0.0409,5.6,,2134.0,1.5
10120,,,13.79,705.0,0.0823,7.8,,591.0,2.2
5333,,tube,13.79,1214.0,0.0648,,4.7,318.0,2.9
31606,Thompson,tube,20.68,1214.0,-0.1977,,,76.0,2.5
12018,,tube,20.0,2078.0,-0.0297,10.0,10.0,1650.0,4.1
12776,Thompson,tube,6.89,7202.0,-0.1428,10.3,10.3,762.0,4.5
11881,Thompson,tube,6.89,1912.0,-0.0438,23.6,23.6,,3.4
15387,Thompson,tube,13.79,1641.0,-0.0276,,7.7,457.0,3.2
2427,Thompson,tube,13.79,1214.0,-0.0878,3.0,3.0,150.0,2.3
25256,,tube,13.79,2726.0,0.1195,,9.5,,1.6
11876,Thompson,tube,13.79,3770.0,0.0649,4.6,,,4.5
19760,,tube,,1275.0,0.08,4.6,4.6,229.0,1.8
6277,Williams,tube,,4071.0,0.0214,9.5,9.5,1836.0,2.7
9626,Janssen,,6.89,1533.0,0.0629,12.7,42.3,2743.0,2.6
29628,Weatherhead,tube,,1329.0,-0.1381,7.7,,457.0,4.8
14205,Thompson,,,7975.0,-0.1186,,5.7,625.0,9.4
17514,Thompson,tube,13.79,,-0.1756,,7.7,457.0,2.3
4037,Richenderfer,plate,0.2,1000.0,-0.0434,15.0,120.0,,5.8
9720,Thompson,,6.89,6212.0,-0.0378,10.3,10.3,794.0,6.3
6949,,tube,13.79,5696.0,-0.0203,,4.7,318.0,5.0
2774,Thompson,,15.51,3852.0,-0.0492,,1.9,152.0,4.8
4569,Thompson,,10.34,3784.0,-0.1258,,,762.0,7.0
28707,Thompson,tube,10.34,3879.0,-0.1438,,10.3,762.0,3.0
28929,,tube,6.89,5438.0,-0.0453,12.8,,1930.0,4.3
22052,Williams,tube,15.17,4055.0,0.0147,9.5,9.5,,5.5
2455,Thompson,tube,6.89,7690.0,0.0212,10.3,10.3,762.0,3.5
5073,Thompson,tube,6.89,,0.0028,10.8,,,4.6
5153,Beus,tube,13.79,1354.0,0.0749,5.6,15.2,2134.0,3.6
16554,,,12.07,4136.0,-0.0412,,,,3.6
2680,Thompson,tube,13.79,932.0,-0.0202,,7.7,457.0,2.1
20477,Thompson,tube,13.79,4367.0,0.0406,,4.7,318.0,3.3
22566,Thompson,tube,12.07,,-0.0296,1.9,1.9,696.0,3.8
5645,Janssen,annulus,9.71,,-0.0335,6.4,15.9,914.0,2.6
5001,Thompson,tube,6.89,7893.0,-0.0257,10.3,10.3,762.0,3.2
17312,Thompson,tube,6.89,2740.0,-0.0415,12.8,12.8,1930.0,5.4
10717,Richenderfer,plate,0.2,1500.0,-0.0314,15.0,120.0,10.0,8.1
17436,Thompson,tube,18.96,,-0.12,1.9,,696.0,2.3
13123,,tube,8.96,1356.0,0.1897,11.5,11.5,1524.0,2.8
30582,Thompson,tube,13.79,5384.0,0.0015,4.7,4.7,318.0,2.1
172,Weatherhead,,13.79,1326.0,-0.0394,11.1,11.1,457.0,2.1
8865,Thompson,tube,13.79,1587.0,0.0279,7.8,,591.0,2.6
20359,Thompson,tube,15.51,3024.0,-0.0601,1.9,1.9,,4.3
22901,,tube,13.79,7866.0,0.0863,4.6,4.6,295.0,3.8
6636,,annulus,0.1,762.0,0.0403,22.2,96.3,,5.2
10647,Richenderfer,plate,0.51,2000.0,-0.0331,15.0,120.0,10.0,6.0
29661,Weatherhead,tube,13.79,1345.0,-0.0123,11.1,11.1,457.0,7.7
1238,,tube,13.79,1356.0,0.1847,11.1,11.1,457.0,1.6
31098,Weatherhead,tube,13.79,1351.0,0.0111,7.7,7.7,,2.0
25922,Richenderfer,tube,0.51,2000.0,-0.0434,,120.0,10.0,7.2
17198,Weatherhead,tube,13.79,678.0,-0.0202,7.7,7.7,457.0,3.5
11581,Peskov,tube,14.0,1668.0,-0.0868,10.0,10.0,1650.0,3.2
15480,Thompson,,6.89,1316.0,-0.0303,37.5,37.5,1953.0,3.5
31411,Thompson,tube,2.14,6510.0,-0.1042,,,114.0,5.2
3655,,tube,13.79,2102.0,-0.0238,1.9,1.9,152.0,5.5
15735,Weatherhead,tube,13.79,2699.0,0.0081,7.7,7.7,457.0,2.4
24960,Thompson,,6.83,4069.0,-0.0178,10.8,10.8,864.0,8.0
1217,,tube,3.86,4136.0,0.0379,10.8,,432.0,2.6
19459,,tube,6.79,4043.0,0.1754,10.8,10.8,864.0,2.9
17090,Peskov,tube,16.0,2439.0,-0.1042,,10.0,1650.0,1.7
30198,,tube,13.79,2604.0,-0.0389,7.7,7.7,457.0,3.9
31322,Thompson,tube,11.07,4069.0,0.1113,11.5,11.5,,1.6
21134,Thompson,tube,13.79,3608.0,-0.0416,4.7,4.7,318.0,6.4
18391,Richenderfer,plate,6.89,2000.0,-0.0093,15.0,120.0,10.0,3.1
8591,,,,1736.0,0.0446,7.8,,591.0,2.9
3159,Thompson,tube,13.79,666.0,-0.0846,7.7,7.7,457.0,6.6
1186,,tube,12.0,1000.0,0.03,10.0,10.0,565.0,2.9
15120,Thompson,tube,15.51,2848.0,-0.0123,1.9,1.9,152.0,4.5
10291,Thompson,tube,6.79,3580.0,-0.0178,10.8,10.8,432.0,4.6
3979,Janssen,annulus,9.51,2292.0,-0.0136,12.7,42.3,,2.4
24570,Thompson,tube,13.79,,0.1746,7.8,7.8,591.0,2.2
23527,Thompson,tube,13.79,746.0,0.0846,4.7,4.7,318.0,1.7
5576,Thompson,tube,18.27,1351.0,-0.1046,3.0,3.0,150.0,1.9
4314,Thompson,tube,6.89,3933.0,-0.0416,10.3,10.3,762.0,5.9
27973,Weatherhead,tube,13.79,1316.0,-0.1239,7.7,,457.0,8.0
21484,Thompson,tube,,,-0.0071,10.3,10.3,762.0,9.7
29944,Thompson,tube,6.86,4069.0,0.0902,10.8,10.8,,3.0
4801,Thompson,,13.79,671.0,0.1453,4.7,4.7,,13.3
11719,Beus,annulus,11.03,2712.0,-0.0943,5.6,,2134.0,2.5
9480,Williams,,13.79,1344.0,0.0196,9.5,9.5,,2.0
30410,Thompson,tube,6.89,5371.0,0.0332,12.8,12.8,1930.0,2.5
20068,Weatherhead,tube,13.79,1397.0,-0.1272,7.7,,457.0,2.7
16629,Thompson,tube,6.93,4069.0,0.0902,,10.8,864.0,3.0
27215,Thompson,tube,6.89,5547.0,-0.0386,10.3,10.3,762.0,5.9
20827,Beus,annulus,,1364.0,0.1407,,15.2,2134.0,1.3
6865,Thompson,tube,13.79,4855.0,0.014,4.6,4.6,295.0,3.3
28382,Thompson,,13.79,765.0,-0.1297,4.7,4.7,318.0,3.1
3358,Thompson,tube,,3662.0,-0.0874,1.9,1.9,696.0,2.2
7995,Janssen,annulus,6.86,2807.0,-0.0385,6.4,15.9,,3.7
3487,Thompson,tube,,2034.0,-0.0202,1.9,1.9,696.0,2.1
25873,Thompson,tube,6.89,3811.0,-0.0098,10.3,,762.0,4.8
16887,Thompson,tube,6.89,6198.0,-0.0596,,10.3,794.0,6.2
1663,Thompson,tube,18.96,3065.0,-0.0603,1.9,1.9,696.0,2.3
16142,Thompson,tube,13.79,4367.0,0.0758,4.7,4.7,318.0,1.8
27740,Peskov,,12.0,4028.0,-0.0465,,,1650.0,3.3
622,Thompson,tube,6.89,,-0.0962,10.3,10.3,,5.9
1372,,tube,0.1,707.0,0.0258,1.0,1.0,25.0,5.3
14072,Beus,,,,0.0179,5.6,,2134.0,2.0
8053,Thompson,,3.86,4069.0,0.1114,10.8,10.8,432.0,3.7
8602,Thompson,tube,6.89,2658.0,-0.1918,,,1953.0,3.0
22953,Thompson,,0.51,2780.0,0.0328,1.0,1.0,51.0,9.5
26236,Janssen,annulus,6.87,1533.0,0.2043,8.5,22.3,2743.0,2.4
12495,Thompson,tube,13.79,1709.0,0.0804,7.8,7.8,591.0,2.7
2947,Beus,annulus,13.79,3721.0,-0.0185,5.6,15.2,2134.0,2.1
16941,Janssen,annulus,5.51,1519.0,0.0054,12.7,42.3,1778.0,4.3
5986,,tube,,3214.0,-0.0296,1.9,1.9,152.0,3.2
5481,Thompson,tube,3.45,7893.0,-0.0071,10.3,10.3,762.0,4.7
27406,Richenderfer,,1.01,1000.0,-0.0102,15.0,15.0,10.0,5.1
19123,Thompson,tube,3.9,4150.0,-0.0369,,10.8,216.0,5.8
16859,,tube,7.14,1858.0,-0.0925,10.8,10.8,216.0,4.8
1866,Richenderfer,tube,0.51,1000.0,-0.0102,15.0,120.0,10.0,4.3
3290,Janssen,annulus,9.68,2292.0,0.0297,12.7,42.3,1778.0,3.4
28477,,tube,6.89,1912.0,-0.11,37.5,37.5,1953.0,7.0
13701,,tube,10.38,1383.0,0.0709,,4.6,229.0,4.7
27711,Thompson,tube,13.79,3635.0,-0.0221,1.9,1.9,696.0,3.6
6961,Thompson,tube,13.79,1695.0,-0.0833,4.7,,318.0,3.2
8899,Thompson,tube,13.79,,0.0244,7.8,7.8,,2.6
9790,Thompson,tube,10.38,1383.0,0.1874,4.6,4.6,229.0,4.4
11617,Thompson,tube,,,0.0212,4.6,4.6,295.0,2.5
17883,Thompson,tube,13.79,1383.0,0.0139,7.8,7.8,591.0,2.6
10362,Thompson,tube,10.34,5940.0,-0.1438,10.3,10.3,762.0,4.6
14185,Janssen,annulus,9.71,1899.0,-0.0383,12.7,42.3,1778.0,4.5
15728,Thompson,tube,,686.0,0.0145,7.7,7.7,457.0,3.7
27639,Thompson,,13.79,2373.0,0.0931,7.8,7.8,,2.0
26039,,tube,13.79,5249.0,-0.0412,4.7,4.7,318.0,5.9
20999,Thompson,tube,13.79,2034.0,0.0886,7.7,7.7,457.0,1.5
25347,Peskov,tube,10.0,4028.0,-0.0297,10.0,10.0,,5.2
11294,Thompson,tube,13.79,6198.0,0.0753,4.7,4.7,318.0,2.9
106,Thompson,,13.79,671.0,0.1476,7.7,7.7,457.0,1.6
28742,,tube,13.79,705.0,0.0818,7.7,7.7,457.0,1.9
23172,,annulus,9.71,5533.0,-0.0404,12.7,38.1,914.0,4.3
13528,Thompson,tube,,639.0,-0.1208,,4.7,318.0,13.3
11928,Janssen,,6.92,2292.0,0.1215,22.2,96.3,1778.0,3.3
8853,Thompson,tube,13.79,1980.0,0.0101,4.7,4.7,318.0,2.1
16711,Janssen,annulus,,2278.0,0.0892,8.5,24.6,1778.0,2.8
5035,Thompson,tube,,861.0,-0.0134,,3.6,35.0,3.1
8065,Weatherhead,,,,-0.363,7.7,7.7,457.0,5.1
28262,Thompson,tube,6.89,6157.0,0.0073,10.3,10.3,762.0,6.2
12148,Thompson,tube,,1682.0,0.0636,4.7,4.7,,8.0
28370,Thompson,tube,6.89,5940.0,0.0209,10.3,,762.0,4.3
7827,Thompson,,6.89,7853.0,-0.0417,10.3,10.3,,12.8
5231,Thompson,tube,4.96,4421.0,0.0534,,5.6,432.0,4.9
12761,,tube,,1736.0,0.0733,7.8,,591.0,2.8
2860,Thompson,,13.79,3906.0,-0.0443,1.9,1.9,152.0,3.4
30524,Thompson,tube,11.03,2034.0,0.0557,9.3,9.3,,2.0
343,Weatherhead,tube,13.79,1980.0,-0.0276,7.7,7.7,,4.3
18272,Thompson,tube,10.51,4082.0,0.0537,4.6,4.6,229.0,2.9
26829,Janssen,annulus,6.89,2767.0,0.0476,,15.9,914.0,2.8
11898,Williams,,13.79,2676.0,0.0128,9.5,9.5,,2.5
13879,Thompson,tube,13.79,,-0.1019,4.7,4.7,318.0,1.6
5173,Thompson,tube,,2848.0,-0.0601,1.9,1.9,152.0,5.4
21258,Janssen,annulus,6.92,2740.0,0.0197,,38.1,737.0,3.1
27401,Janssen,,6.89,5561.0,-0.0195,,38.1,914.0,3.2
28635,Thompson,,13.79,4069.0,0.0863,4.6,4.6,295.0,2.5
30570,,,13.79,7785.0,0.0192,4.7,4.7,305.0,4.0
15791,,tube,13.79,,0.0863,,4.7,318.0,9.0
2006,Thompson,tube,13.79,,-0.0833,4.7,4.7,,8.3
12673,Beus,annulus,8.27,1360.0,0.1233,5.6,,2134.0,1.8
2418,Thompson,,18.27,670.0,-0.1124,3.0,,35.0,1.9
7870,Thompson,tube,17.24,2197.0,-0.0545,1.9,,152.0,4.4
27511,Thompson,tube,13.79,842.0,-0.1258,3.0,3.0,150.0,5.1
10497,Thompson,,10.34,7554.0,-0.0412,,10.3,,3.2
3326,Thompson,tube,7.0,4069.0,0.0126,10.8,10.8,432.0,5.0
14698,Thompson,,6.89,6551.0,-0.1334,3.6,,150.0,3.5
24838,Janssen,annulus,9.65,5547.0,-0.0385,12.7,38.1,914.0,3.4
30692,Thompson,,13.79,,-0.0443,1.9,1.9,152.0,9.4
19427,Thompson,tube,,3974.0,-0.1403,10.3,10.3,762.0,5.8
29982,Thompson,tube,0.1,2217.0,0.0206,1.0,1.0,51.0,7.3
21805,Thompson,tube,13.79,,-0.0573,4.6,4.6,457.0,3.5
27444,Thompson,tube,,6049.0,-0.1076,10.3,10.3,762.0,6.8
10421,Peskov,,18.0,1356.0,0.08,10.0,10.0,1300.0,1.8
2871,Thompson,tube,3.96,3947.0,0.0523,4.6,,229.0,3.9
2734,Thompson,tube,,4069.0,0.0143,10.8,10.8,,4.3
14550,Beus,annulus,13.79,2730.0,0.0224,5.6,15.2,2134.0,1.9
18863,,tube,13.79,1655.0,0.0884,7.7,7.7,457.0,1.3
19367,Thompson,tube,18.96,,-0.2049,1.9,1.9,152.0,5.0
9292,Thompson,tube,3.9,,0.0036,10.8,10.8,,5.0
30635,Janssen,annulus,9.65,,-0.0117,6.4,,914.0,2.1
9374,Thompson,tube,6.89,1912.0,0.1946,,37.5,1953.0,1.8
6272,,tube,15.17,2034.0,0.0802,9.5,9.5,1836.0,1.1
19169,Thompson,tube,3.45,,-0.0416,,,,4.5
24775,,tube,6.79,4001.0,-0.0417,10.8,10.8,432.0,5.0
13917,Thompson,tube,10.34,3960.0,-0.1272,10.3,10.3,762.0,3.6
9651,Thompson,tube,,3784.0,-0.1205,,4.7,318.0,6.0
20520,Thompson,tube,13.79,,0.0948,,7.8,591.0,1.8
22970,Janssen,annulus,6.85,1533.0,0.1832,,22.3,,2.2
20455,Thompson,tube,6.89,3987.0,-0.0071,10.3,10.3,762.0,4.8
16397,Thompson,tube,13.79,1682.0,-0.0833,4.7,4.7,318.0,3.2
1266,Thompson,tube,6.9,3852.0,-0.0015,10.8,,,5.8
8287,Thompson,tube,,5289.0,-0.0298,10.3,10.3,762.0,3.9
19774,Thompson,tube,6.89,5357.0,-0.025,23.6,23.6,,3.4
21377,Thompson,tube,6.89,783.0,-0.0591,,10.3,762.0,3.6
28252,Beus,annulus,11.03,3679.0,0.0707,5.6,15.2,2134.0,2.3
20784,Williams,tube,,2691.0,0.0406,,9.5,,2.8
159,Thompson,,17.24,1939.0,0.0406,1.9,1.9,152.0,2.1
13187,Thompson,tube,3.45,6157.0,0.0854,,4.7,318.0,6.7
20969,Weatherhead,tube,13.79,2034.0,0.07,7.7,,457.0,2.3
12904,Weatherhead,tube,13.79,1383.0,-0.1775,,,,3.9
24438,Thompson,tube,6.89,6212.0,-0.0268,10.3,10.3,762.0,6.6
7951,Thompson,tube,13.79,2550.0,0.0226,7.7,7.7,457.0,2.3
13588,,tube,13.79,2278.0,0.0944,7.8,7.8,591.0,1.3
16136,Williams,tube,13.79,2772.0,0.0833,9.5,9.5,1836.0,4.3
6452,Thompson,tube,18.96,2699.0,-0.2049,1.9,1.9,152.0,3.2
26036,Thompson,tube,3.45,5249.0,-0.0577,5.7,5.7,625.0,5.5
3872,Thompson,tube,13.79,974.0,-0.4486,4.7,4.7,,3.9
19519,,tube,6.89,2767.0,0.0404,12.8,12.8,1930.0,2.0
29967,Thompson,tube,13.79,678.0,-0.1331,,7.7,,6.4
20787,Beus,annulus,15.51,3662.0,-0.0158,5.6,15.2,,4.1
15826,Beus,annulus,13.79,765.0,0.1601,5.6,15.2,,1.5
29646,Thompson,,13.79,1078.0,-0.1297,4.7,4.7,318.0,3.6
17393,,tube,13.79,5221.0,0.0672,4.7,4.7,318.0,2.5
10094,Thompson,tube,13.79,7107.0,-0.3206,4.7,4.7,318.0,4.1
8367,Thompson,tube,10.34,,-0.0483,10.3,10.3,762.0,4.4
2403,Thompson,tube,13.79,,0.0788,,7.8,591.0,2.3
27017,,tube,13.79,4964.0,-0.1208,4.7,4.7,318.0,4.0
30651,,tube,13.79,1339.0,0.0334,7.7,7.7,457.0,2.4
5661,Thompson,tube,3.76,2889.0,0.0887,4.6,4.6,229.0,6.7
21321,Thompson,,6.89,2712.0,0.0702,23.6,23.6,1972.0,2.0
25768,,annulus,6.92,2265.0,0.1498,8.5,22.3,2743.0,2.0
15758,Thompson,tube,13.79,,-0.0443,4.7,4.7,318.0,3.4
15152,Thompson,tube,6.89,4069.0,0.0498,5.6,,432.0,6.0
2636,Beus,annulus,13.79,3458.0,-0.1197,5.6,15.2,2134.0,2.4
23390,,tube,18.27,2740.0,-0.0466,3.0,3.0,152.0,1.9
28516,,tube,13.79,2772.0,0.0334,9.5,9.5,1836.0,2.0
3691,Thompson,tube,15.51,3811.0,-0.0601,1.9,1.9,152.0,5.3
23739,,,11.0,2034.0,0.1228,9.3,9.3,1524.0,2.2
10046,Beus,,13.79,1356.0,0.1113,5.6,15.2,,1.9
23467,Janssen,annulus,,2319.0,-0.0563,,,737.0,3.8
18241,Thompson,tube,,4787.0,-0.0218,4.7,,305.0,5.9
11837,Beus,annulus,11.03,2721.0,0.0537,5.6,15.2,2134.0,2.4
19316,Williams,,15.17,336.0,-0.0154,9.5,9.5,1836.0,3.5
21460,Thompson,tube,,7866.0,-0.1703,10.3,10.3,762.0,7.7
9500,Thompson,,13.79,,0.0474,7.8,7.8,591.0,2.2
24789,Peskov,tube,10.0,3861.0,-0.0466,10.0,10.0,890.0,3.1
12286,Thompson,tube,13.79,5588.0,-0.4486,4.7,,318.0,8.0
11273,,annulus,,1519.0,0.1494,12.7,42.3,1778.0,2.3
14593,Janssen,,6.92,1519.0,0.0106,8.5,,1778.0,2.3
9185,Peskov,tube,20.0,4750.0,-0.0297,10.0,10.0,,3.1
17200,Thompson,tube,6.89,4069.0,-0.0413,5.6,,432.0,5.2
5325,Thompson,tube,6.72,4069.0,0.0423,,10.8,864.0,4.0
9383,Thompson,tube,10.51,2590.0,0.0666,4.6,4.6,229.0,2.6
6898,Thompson,,13.79,1587.0,-0.0298,,7.8,591.0,9.0
22610,Thompson,tube,6.86,4069.0,0.0907,10.8,10.8,1727.0,2.9
24628,,,10.34,5615.0,-0.0657,10.3,10.3,,5.9
9287,Thompson,tube,6.96,4048.0,0.0003,10.8,10.8,864.0,3.8
26393,Beus,annulus,,1355.0,0.0515,5.6,15.2,,1.1
27378,Thompson,tube,6.89,,-0.0274,10.3,10.3,794.0,5.8
30851,Williams,tube,15.17,,-0.0278,9.5,9.5,1836.0,4.1
15321,Thompson,tube,3.86,,0.0363,5.6,5.6,,5.8
19097,Thompson,tube,17.24,3770.0,-0.05,1.9,,152.0,4.7
8550,Thompson,tube,13.79,6985.0,-0.3491,4.7,4.7,318.0,7.0
12133,,tube,13.79,1326.0,-0.2493,11.1,11.1,,3.3
20175,Beus,annulus,15.51,,0.0886,,,2134.0,1.9
4592,Thompson,tube,,5221.0,0.0027,4.7,4.7,318.0,3.2
2858,Thompson,tube,3.9,4055.0,0.0751,,10.8,864.0,0.9
10266,Weatherhead,tube,13.79,4001.0,-0.0336,,11.1,457.0,3.9
11431,Thompson,tube,6.86,,0.1272,10.8,,432.0,3.6
29394,Beus,annulus,13.79,1354.0,0.099,,15.2,2134.0,2.3
12163,,tube,12.0,,-0.0096,,10.0,890.0,3.2
30783,Thompson,tube,,1533.0,0.1212,,7.8,,2.3
8718,Thompson,,13.79,2699.0,-0.0579,1.9,1.9,696.0,2.1
28596,Mortimore,annulus,1.01,1844.0,0.0101,,13.3,2134.0,2.1
25830,,annulus,6.89,2265.0,0.1745,8.5,22.3,2743.0,2.0
26893,,annulus,,1277.0,0.1329,12.7,42.3,1778.0,2.2
7633,Thompson,,10.34,,-0.0071,10.3,10.3,762.0,6.0
7638,,tube,13.79,4069.0,0.0711,4.6,4.6,,2.5
20340,Thompson,tube,6.86,4069.0,0.0907,10.8,10.8,,3.4
22441,Thompson,,,1316.0,0.0379,3.6,,,3.8
6876,Janssen,annulus,6.89,,0.0288,8.5,24.6,1778.0,2.6
10154,,,13.79,1290.0,0.0334,7.7,,,2.1
24986,Thompson,tube,13.79,,0.1473,,4.7,318.0,1.8
23492,,annulus,6.89,5479.0,0.1167,12.7,38.1,737.0,2.3
17206,Thompson,tube,13.79,783.0,-0.0122,4.7,4.7,318.0,3.3
3169,Thompson,tube,6.89,,-0.0579,23.6,23.6,1972.0,5.8
12127,Thompson,tube,6.72,4059.0,0.0863,10.8,10.8,864.0,3.5
13004,Beus,annulus,,2729.0,0.087,,15.2,2134.0,2.1
19476,,tube,10.34,3757.0,-0.0757,10.3,10.3,762.0,7.3
77,Mortimore,annulus,13.79,679.0,0.1601,5.0,,2134.0,1.6
25400,Thompson,tube,13.79,2034.0,0.0226,7.7,7.7,457.0,2.3
435,Janssen,annulus,9.68,,-0.0456,6.4,15.9,914.0,3.5
26363,,tube,,4069.0,-0.0188,10.8,10.8,432.0,5.6
21172,,tube,15.51,3553.0,0.0196,1.9,1.9,152.0,2.6
20263,,tube,13.79,1383.0,0.0027,,,,2.2
6608,Thompson,,13.79,,-0.1005,7.8,7.8,,2.3
29820,Beus,annulus,8.27,1355.0,-0.0145,5.6,15.2,,3.1
28716,Thompson,tube,18.96,,-0.1438,1.9,1.9,152.0,10.8
18529,Thompson,,,4286.0,-0.0268,10.3,10.3,,4.9
15630,Thompson,tube,13.79,,-0.1209,4.7,4.7,,6.7
15593,Thompson,tube,,1370.0,-0.1005,7.7,7.7,457.0,2.7
7807,Thompson,tube,5.03,3458.0,0.0486,5.6,5.6,432.0,1.8
15649,,tube,0.91,,-0.0833,,3.0,,10.2
24279,Weatherhead,tube,13.79,1200.0,0.0145,11.1,,457.0,2.8
21087,Janssen,annulus,6.89,1519.0,0.1247,8.5,24.6,1778.0,2.1
15142,Thompson,tube,6.89,7893.0,-0.0274,10.3,,762.0,3.2
28308,Thompson,tube,13.79,5249.0,0.0287,5.7,5.7,625.0,4.9
28005,Thompson,tube,13.79,912.0,-0.201,4.7,4.7,,2.3
25241,Thompson,tube,6.86,4056.0,0.0685,10.8,10.8,1727.0,1.8
9507,Thompson,tube,,3594.0,0.0233,4.7,4.7,318.0,2.4
10410,Thompson,tube,2.63,1804.0,-0.0603,1.9,1.9,696.0,3.2
20474,Thompson,tube,6.89,,-0.0254,10.3,10.3,,5.2
5799,Williams,tube,13.79,,0.0047,9.5,9.5,,1.8
31106,Thompson,tube,3.86,4055.0,0.0423,,,864.0,3.6
19288,Thompson,tube,13.79,,0.0733,7.8,,591.0,2.3
16955,Thompson,tube,13.79,5696.0,-0.0424,4.7,4.7,305.0,7.3
15143,,tube,13.79,1397.0,0.0816,9.5,9.5,1836.0,1.6
25444,Beus,annulus,,1358.0,0.0643,5.6,15.2,2134.0,3.9
6246,Thompson,tube,13.79,1351.0,-0.0148,1.9,1.9,152.0,3.6
1001,,tube,6.83,4069.0,0.0129,10.8,10.8,864.0,4.5
4850,Beus,annulus,15.51,1364.0,0.0967,5.6,15.2,2134.0,1.5
27251,Thompson,tube,13.79,,-0.1153,3.6,3.6,76.0,3.4
12611,Thompson,tube,,7473.0,-0.034,,23.6,610.0,4.6
14772,Thompson,tube,6.89,4055.0,-0.0029,10.3,10.3,762.0,4.6
18925,Thompson,tube,4.93,4218.0,0.0426,5.6,,,4.2
17431,Peskov,tube,20.0,1944.0,-0.0058,10.0,10.0,520.0,4.1
9065,Thompson,tube,6.79,1600.0,0.0907,10.8,10.8,,3.8
9299,Peskov,tube,12.0,4986.0,0.0209,10.0,10.0,1000.0,4.6
22664,Thompson,tube,6.89,3797.0,-0.0416,10.3,10.3,762.0,5.0
10961,Thompson,tube,6.89,5466.0,-0.0833,,37.5,1953.0,2.5
25582,Janssen,annulus,8.27,1519.0,0.0091,8.5,24.6,1778.0,3.2
9323,Thompson,,,,-0.0045,1.9,,,1.9
27278,Beus,annulus,15.51,3665.0,-0.0185,,,2134.0,3.1
18295,Williams,,13.79,,0.0177,9.5,9.5,1836.0,2.0
17973,Thompson,,6.89,,0.0379,37.5,,1953.0,2.8
5672,Thompson,,3.9,2034.0,0.1113,10.8,10.8,432.0,3.0
9351,Thompson,tube,10.34,5859.0,-0.1208,10.3,10.3,762.0,4.8
6414,Janssen,annulus,6.89,,0.2072,,42.3,2743.0,3.0
8299,Williams,tube,8.27,,0.1512,9.5,9.5,1836.0,2.1
21493,Thompson,tube,7.03,1031.0,-0.0878,10.8,10.8,432.0,3.9
11834,Thompson,,13.79,4679.0,-0.0541,4.7,4.7,318.0,4.8
6210,Thompson,,6.86,4069.0,0.0129,,,432.0,3.6
29727,Weatherhead,tube,13.79,1682.0,0.0027,7.7,7.7,457.0,2.3
28646,Janssen,annulus,5.52,1519.0,0.1877,8.5,22.3,2743.0,2.7
29572,Janssen,annulus,6.89,,0.1055,12.7,,,2.0
24643,,tube,6.86,4069.0,-0.0137,10.8,,432.0,6.6
10500,Thompson,tube,13.79,1272.0,0.0868,7.8,7.8,591.0,2.0
7286,Janssen,annulus,6.89,1519.0,0.0382,12.7,42.3,1778.0,2.4
27699,Janssen,annulus,6.89,,0.0384,12.7,42.3,1778.0,2.6
15397,Thompson,tube,11.03,4069.0,0.0616,9.3,,762.0,2.6
29138,Thompson,tube,3.45,5940.0,-0.0653,10.3,10.3,762.0,7.9
7219,Thompson,tube,13.79,,0.0226,7.7,7.7,457.0,2.7
6907,,tube,0.1,1926.0,0.1293,10.0,,1650.0,3.2
14239,Thompson,tube,13.79,6429.0,-0.202,4.7,4.7,318.0,8.6
26438,Williams,tube,13.79,2773.0,0.1619,9.5,9.5,1836.0,1.2
15231,Thompson,tube,6.86,1031.0,0.0257,10.8,10.8,,3.7
10360,Thompson,,,1912.0,-0.0303,37.5,37.5,,3.8
11943,Thompson,,3.45,5954.0,0.1508,10.3,10.3,762.0,3.6
14201,Janssen,annulus,4.13,,0.0109,12.7,42.3,1778.0,4.1
10369,Thompson,tube,11.03,4069.0,-0.044,11.5,11.5,1524.0,9.0
10265,,tube,13.79,1356.0,-0.1212,,7.7,457.0,2.7
19526,,tube,0.62,6400.0,-0.0412,3.0,3.0,100.0,12.7
23542,Thompson,tube,6.89,1899.0,0.0903,10.8,10.8,432.0,3.5
6964,Thompson,,13.79,,0.1503,,,318.0,1.8
18202,Thompson,tube,12.07,3648.0,-0.0296,1.9,1.9,696.0,3.1
10431,Thompson,,,4123.0,-0.0252,1.9,1.9,696.0,2.3
1874,Richenderfer,plate,0.1,1944.0,-0.0868,15.0,120.0,,5.2
17194,Thompson,tube,18.27,816.0,-0.065,3.0,3.0,150.0,2.9
